Date,Rate
2016-10-15,0.82041
2016-10-16,0.821823
2016-10-17,0.819635
2016-10-18,0.812988
2016-10-19,0.813918
2016-10-20,0.815918
2016-10-21,0.81745
2016-10-22,0.81745
2016-10-23,0.818563
2016-10-24,0.818315
2016-10-25,0.821175
2016-10-26,0.816918
2016-10-27,0.822038
2016-10-28,0.820395
2016-11-01,0.81692
2016-11-02,0.812755
2016-11-03,0.802233
2016-11-04,0.798998
2016-11-05,0.798998
2016-11-06,0.801823
2016-11-07,0.806898
2016-11-08,0.808243
2016-11-09,0.805643
2016-11-10,0.796925
2016-11-11,0.793608
2016-11-12,0.793608
2016-11-13,0.795355
2016-11-14,0.799135
2016-11-15,0.80335
2016-11-16,0.80334
2016-11-17,0.80561
2016-11-18,0.80982
2016-11-19,0.80982
2016-11-20,0.81123
2016-11-21,0.800478
2016-11-22,0.805058
2016-11-23,0.804715
2016-11-24,0.803125
2016-11-25,0.8011
2016-11-26,0.8011
2016-11-27,0.802078
2016-11-28,0.805655
2016-12-01,0.794155
2016-12-02,0.78546
2016-12-03,0.78546
2016-12-04,0.790608
2016-12-05,0.785918
2016-12-06,0.788863
2016-12-07,0.792193
2016-12-08,0.794853
2016-12-09,0.795213
2016-12-10,0.795213
2016-12-11,0.79427
2016-12-12,0.788803
2016-12-13,0.789933
2016-12-14,0.79809
2016-12-15,0.804893
2016-12-16,0.801698
2016-12-17,0.800673
2016-12-18,0.800679
2016-12-19,0.8073
2016-12-20,0.808734
2016-12-21,0.809527
2016-12-22,0.8139
2016-12-23,0.814478
2016-12-24,0.8144
2016-12-25,0.813818
2016-12-26,0.814634
2016-12-27,0.81471
2016-12-28,0.81829
2017-01-01,0.809782
2017-01-02,0.814263
2017-01-03,0.816721
2017-01-04,0.811425
2017-01-05,0.805043
2017-01-06,0.813868
2017-01-07,0.81407
2017-01-08,0.815802
2017-01-09,0.821665
2017-01-10,0.82143
2017-01-11,0.818935
2017-01-12,0.821955
2017-01-13,0.820968
2017-01-14,0.8203
2017-01-15,0.830702
2017-01-16,0.830559
2017-01-17,0.807212
2017-01-18,0.815634
2017-01-19,0.810495
2017-01-20,0.808738
2017-01-21,0.808016
2017-01-22,0.807385
2017-01-23,0.799041
2017-01-24,0.797894
2017-01-25,0.791485
2017-01-26,0.79391
2017-01-27,0.796943
2017-01-28,0.79694
2017-02-01,0.789817
2017-02-02,0.798756
2017-02-03,0.801038
2017-02-04,0.801035
2017-02-05,0.801061
2017-02-06,0.802053
2017-02-07,0.800264
2017-02-08,0.798483
2017-02-09,0.8001
2017-02-10,0.800801
2017-02-11,0.80077
2017-02-12,0.801057
2017-02-13,0.798502
2017-02-14,0.801937
2017-02-15,0.802089
2017-02-16,0.800867
2017-02-17,0.805704
2017-02-18,0.8058
2017-02-19,0.804532
2017-02-20,0.801802
2017-02-21,0.800834
2017-02-22,0.803067
2017-02-23,0.796492
2017-02-24,0.802245
2017-02-25,0.802472
2017-02-26,0.806433
2017-02-27,0.803997
2017-02-28,0.807853
2017-03-01,0.814956
2017-03-02,0.814732
2017-03-03,0.813205
2017-03-04,0.813315
2017-03-05,0.812984
2017-03-06,0.81707
2017-03-07,0.819437
2017-03-08,0.821429
2017-03-09,0.822645
2017-03-10,0.822206
2017-03-11,0.822165
2017-03-12,0.821654
2017-03-13,0.819252
2017-03-14,0.822572
2017-03-15,0.814179
2017-03-16,0.809725
2017-03-17,0.806614
2017-03-18,0.807045
2017-03-19,0.807512
2017-03-20,0.808594
2017-03-21,0.801158
2017-03-22,0.801815
2017-03-23,0.798945
2017-03-24,0.801828
2017-03-25,0.8017
2017-03-26,0.799123
2017-03-27,0.796315
2017-03-28,0.805376
2017-04-01,0.797194
2017-04-02,0.797453
2017-04-03,0.800577
2017-04-04,0.803902
2017-04-05,0.800828
2017-04-06,0.802005
2017-04-07,0.80821
2017-04-08,0.80819
2017-04-09,0.808118
2017-04-10,0.804923
2017-04-11,0.800663
2017-04-12,0.796874
2017-04-13,0.799728
2017-04-14,0.798722
2017-04-15,0.798594
2017-04-16,0.797804
2017-04-17,0.796353
2017-04-18,0.778634
2017-04-19,0.782378
2017-04-20,0.781207
2017-04-21,0.780825
2017-04-22,0.780825
2017-04-23,0.779795
2017-04-24,0.782618
2017-04-25,0.779265
2017-04-26,0.778318
2017-04-27,0.775641
2017-04-28,0.772114
2017-05-01,0.775344
2017-05-02,0.772736
2017-05-03,0.77682
2017-05-04,0.773663
2017-05-05,0.770268
2017-05-06,0.770268
2017-05-07,0.77112
2017-05-08,0.772728
2017-05-09,0.772283
2017-05-10,0.773415
2017-05-11,0.775892
2017-05-12,0.775885
2017-05-13,0.775885
2017-05-14,0.776144
2017-05-15,0.775072
2017-05-16,0.7742
2017-05-17,0.770991
2017-05-18,0.771904
2017-05-19,0.767165
2017-05-20,0.767
2017-05-21,0.7686
2017-05-22,0.769648
2017-05-23,0.771818
2017-05-24,0.770535
2017-05-25,0.773382
2017-05-26,0.780914
2017-05-27,0.780795
2017-05-28,0.78039
2017-06-01,0.776005
2017-06-02,0.775738
2017-06-03,0.775595
2017-06-04,0.777123
2017-06-05,0.774839
2017-06-06,0.774809
2017-06-07,0.771411
2017-06-08,0.785899
2017-06-09,0.784711
2017-06-10,0.784765
2017-06-11,0.784717
2017-06-12,0.7893
2017-06-13,0.784406
2017-06-14,0.784071
2017-06-15,0.783699
2017-06-16,0.782475
2017-06-17,0.782715
2017-06-18,0.782868
2017-06-19,0.785504
2017-06-20,0.791668
2017-06-21,0.78896
2017-06-22,0.788728
2017-06-23,0.786442
2017-06-24,0.7862
2017-06-25,0.784607
2017-06-26,0.785934
2017-06-27,0.780451
2017-06-28,0.772798
2017-07-01,0.767595
2017-07-02,0.768304
2017-07-03,0.772306
2017-07-04,0.773054
2017-07-05,0.773338
2017-07-06,0.771112
2017-07-07,0.77605
2017-07-08,0.776225
2017-07-09,0.7758
2017-07-10,0.776337
2017-07-11,0.777677
2017-07-12,0.775624
2017-07-13,0.77238
2017-07-14,0.763625
2017-07-15,0.763625
2017-07-16,0.762788
2017-07-17,0.766193
2017-07-18,0.767103
2017-07-19,0.767435
2017-07-20,0.771302
2017-07-21,0.76926
2017-07-22,0.76955
2017-07-23,0.769055
2017-07-24,0.767695
2017-07-25,0.767668
2017-07-26,0.762515
2017-07-27,0.764734
2017-07-28,0.761354
2017-08-01,0.757171
2017-08-02,0.755994
2017-08-03,0.760874
2017-08-04,0.766842
2017-08-05,0.766842
2017-08-06,0.766537
2017-08-07,0.767
2017-08-08,0.770054
2017-08-09,0.768587
2017-08-10,0.770592
2017-08-11,0.768533
2017-08-12,0.76852
2017-08-13,0.768913
2017-08-14,0.771245
2017-08-15,0.777128
2017-08-16,0.775768
2017-08-17,0.777348
2017-08-18,0.776832
2017-08-19,0.776695
2017-08-20,0.77682
2017-08-21,0.775326
2017-08-22,0.779788
2017-08-23,0.781063
2017-08-24,0.781245
2017-08-25,0.776452
2017-08-26,0.77645
2017-08-27,0.775038
2017-08-28,0.773602
2017-09-01,0.772198
2017-09-02,0.77214
2017-09-03,0.771363
2017-09-04,0.773817
2017-09-05,0.766754
2017-09-06,0.766521
2017-09-07,0.763083
2017-09-08,0.757622
2017-09-09,0.75769
2017-09-10,0.757691
2017-09-11,0.759351
2017-09-12,0.752516
2017-09-13,0.757182
2017-09-14,0.7465
2017-09-15,0.735845
2017-09-16,0.735845
2017-09-17,0.736559
2017-09-18,0.739908
2017-09-19,0.739958
2017-09-20,0.741259
2017-09-21,0.736402
2017-09-22,0.741098
2017-09-23,0.741098
2017-09-24,0.740376
2017-09-25,0.742003
2017-09-26,0.74401
2017-09-27,0.746381
2017-09-28,0.744617
2017-10-01,0.746469
2017-10-02,0.753396
2017-10-03,0.755164
2017-10-04,0.755698
2017-10-05,0.7626
2017-10-06,0.765405
2017-10-07,0.76529
2017-10-08,0.764409
2017-10-09,0.760925
2017-10-10,0.757047
2017-10-11,0.755343
2017-10-12,0.753926
2017-10-13,0.75267
2017-10-14,0.752715
2017-10-15,0.7526
2017-10-16,0.75453
2017-10-17,0.758066
2017-10-18,0.757
2017-10-19,0.7604
2017-10-20,0.757831
2017-10-21,0.758065
2017-10-22,0.75815
2017-10-23,0.757398
2017-10-24,0.76159
2017-10-25,0.7534
2017-10-26,0.761636
2017-10-27,0.7617
2017-10-28,0.7617
2017-11-01,0.754344
2017-11-02,0.76609
2017-11-03,0.76473
2017-11-04,0.76473
2017-11-05,0.764563
2017-11-06,0.759087
2017-11-07,0.759218
2017-11-08,0.762602
2017-11-09,0.760872
2017-11-10,0.75816
2017-11-11,0.75816
2017-11-12,0.762174
2017-11-13,0.762166
2017-11-14,0.760024
2017-11-15,0.7591
2017-11-16,0.757591
2017-11-17,0.7566
2017-11-18,0.7566
2017-11-19,0.757623
2017-11-20,0.755116
2017-11-21,0.754866
2017-11-22,0.751033
2017-11-23,0.751555
2017-11-24,0.750005
2017-11-25,0.74968
2017-11-26,0.750525
2017-11-27,0.750692
2017-11-28,0.748246
2017-12-01,0.74219
2017-12-02,0.74219
2017-12-03,0.741265
2017-12-04,0.7422
2017-12-05,0.745476
2017-12-06,0.746826
2017-12-07,0.741716
2017-12-08,0.747105
2017-12-09,0.746755
2017-12-10,0.746775
2017-12-11,0.749198
2017-12-12,0.750783
2017-12-13,0.745754
2017-12-14,0.744453
2017-12-15,0.75055
2017-12-16,0.75055
2017-12-17,0.751007
2017-12-18,0.747437
2017-12-19,0.74706
